"Authors","Author full names","Author(s) ID","Title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Publisher","PubMed ID","EID"
"Durkee M.S.; Abraham R.; Clark M.R.; Giger M.L.","Durkee, Madeleine S. (56677655800); Abraham, Rebecca (57215870962); Clark, Marcus R. (56664601700); Giger, Maryellen L. (7103040897)","56677655800; 57215870962; 56664601700; 7103040897","Artificial Intelligence and Cellular Segmentation in Tissue Microscopy Images","191","10","","1693","1701","8","10.1016/j.ajpath.2021.05.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115163423&doi=10.1016%2fj.ajpath.2021.05.022&partnerID=40&md5=133006568dbba9637ee8804579e5d488","With applications in object detection, image feature extraction, image classification, and image segmentation, artificial intelligence is facilitating high-throughput analysis of image data in a variety of biomedical imaging disciplines, ranging from radiology and pathology to cancer biology and immunology. Specifically, a growth in research on deep learning has led to the widespread application of computer-visualization techniques for analyzing and mining data from biomedical images. The availability of open-source software packages and the development of novel, trainable deep neural network architectures has led to increased accuracy in cell detection and segmentation algorithms. By automating cell segmentation, it is now possible to mine quantifiable cellular and spatio-cellular features from microscopy images, providing insight into the organization of cells in various pathologies. This mini-review provides an overview of the current state of the art in deep learning– and artificial intelligence–based methods of segmentation and data mining of cells in microscopy images of tissue. © 2021 American Society for Investigative Pathology","","Animals; Artificial Intelligence; Cells; Deep Learning; Humans; Image Processing, Computer-Assisted; Microscopy; Organ Specificity; artificial intelligence; artificial neural network; data mining; deep learning; deep neural network; generative adversarial network; high throughput analysis; human; image analysis; image processing; image quality; image segmentation; immunofluorescence; immunohistochemistry; microscopy; Review; selection bias; signal noise ratio; animal; antibody specificity; cells; cytology","Median Technologies; Mitsubishi; Riverain Technologies LLC; National Institutes of Health, NIH, (U19 AI082724); U.S. Department of Defense, DOD, (LR180083); National Institute of Allergy and Infectious Diseases, NIAID; National Institute of Arthritis and Musculoskeletal and Skin Diseases, NIAMS, (R01AR055646); University of Chicago; Medical Research Council, MRC, (R01 AI148705, R01 AR055646, U01 CA195564)","Elsevier Inc.","34129842","2-s2.0-85115163423"
"Schouten J.P.E.; Matek C.; Jacobs L.F.P.; Buck M.C.; Bošnački D.; Marr C.","Schouten, Jens P. E. (57222963224); Matek, Christian (55368586300); Jacobs, Luuk F. P. (57222959002); Buck, Michèle C. (57222016114); Bošnački, Dragan (6602212448); Marr, Carsten (10539477500)","57222963224; 55368586300; 57222959002; 57222016114; 6602212448; 10539477500","Tens of images can suffice to train neural networks for malignant leukocyte detection","11","1","7995","","","","10.1038/s41598-021-86995-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104271125&doi=10.1038%2fs41598-021-86995-5&partnerID=40&md5=1e4d8774280e1317394d6c05afd480c8","Convolutional neural networks (CNNs) excel as powerful tools for biomedical image classification. It is commonly assumed that training CNNs requires large amounts of annotated data. This is a bottleneck in many medical applications where annotation relies on expert knowledge. Here, we analyze the binary classification performance of a CNN on two independent cytomorphology datasets as a function of training set size. Specifically, we train a sequential model to discriminate non-malignant leukocytes from blast cells, whose appearance in the peripheral blood is a hallmark of leukemia. We systematically vary training set size, finding that tens of training images suffice for a binary classification with an ROC-AUC over 90%. Saliency maps and layer-wise relevance propagation visualizations suggest that the network learns to increasingly focus on nuclear structures of leukocytes as the number of training images is increased. A low dimensional tSNE representation reveals that while the two classes are separated already for a few training images, the distinction between the classes becomes clearer when more training images are used. To evaluate the performance in a multi-class problem, we annotated single-cell images from a acute lymphoblastic leukemia dataset into six different hematopoietic classes. Multi-class prediction suggests that also here few single-cell images suffice if differences between morphological classes are large enough. The incorporation of deep learning algorithms into clinical practice has the potential to reduce variability and cost, democratize usage of expertise, and allow for early detection of disease onset and relapse. Our approach evaluates the performance of a deep learning based cytology classifier with respect to size and complexity of the training data and the classification task. © 2021, The Author(s).","","Databases as Topic; Humans; Image Processing, Computer-Assisted; Leukocytes; Lymphocytes; Neural Networks, Computer; data base; human; image processing; leukocyte; lymphocyte; pathology","Deutsche Jose Carreras-Leukämie Stiftung; German Science Foundation DFG, (SFB 1243); Horizon 2020 Framework Programme, H2020, (866411); European Research Council, ERC; Deutsche Forschungsgemeinschaft, DFG","Nature Research","33846442","2-s2.0-85104271125"
"Behura A.","Behura, Aradhana (57216374591)","57216374591","Congruence of deep learning in biomedical engineering: Future prospects and challenges","","","","1","24","23","10.1016/B978-0-12-823014-5.00003-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120533343&doi=10.1016%2fB978-0-12-823014-5.00003-X&partnerID=40&md5=cd6cccaedb7efa110557dcb904ca376b","Deep learning models have opened up many prospects in medical images for achieving unprecedented performance, for example, classification of tissues and division or segmentation are a few medical outcomes. This chapter evaluates and describes the convolutional neural network (CNN) intended for characterization of tissue in clinical imaging, which is applied for segregating essential metastatic liver tumors from diffusion-weighted magnetic resonance imaging information. Advancement in the field of deep learning for normal pictures has provoked a surge of enthusiasm for applying comparative strategies to clinical images. Most of the initial attempts replaced the input of a deep CNN with medical images, which does not consider the basic contrasts between these two kinds of pictures. In particular, fine details are fundamental in clinical pictures, unlike regular images where coarse structures are very important. This distinction makes it difficult to utilize the current organized models created for common pictures, because they chip away at downscaled medical images to decrease the memory prerequisites. These subtleties are important to provide accurate detection. Furthermore, a medical test in clinical imaging regularly accompanies many perspectives, which must be intertwined to arrive at the right conclusion. A survey of deep learning is used for image classification, carotid ultrasound data investigations, cardiotocography, intravascular ultrasound reports, lung computed tomography reports, brain tumor prediction, coronavirus prediction (COVID-19) object detection, segmentation, breast cancer prediction, electrocardiogram signals, electroencephalograms, photoplethysmographic signal registration, psoriasis skin disease, as well as cancer detection. Concise summaries are delivered of trainings per application zone: pulmonary, musculoskeletal neuro, digital pathology, abdominal, retinal, breast, and cardiac. There are various types of deep learning techniques present to improve the accuracy of the medical dataset. Deep reinforcement learning, recursive neural network, multilayer perceptron, recurrent neural network, Boltzmann machine, and CNN are different types of deep learning techniques used to train the image and signal dataset. Generative adversarial network (GAN), autoencoder, and deep belief neural network are subcategories of unsupervised pretrained neural network. Some well-known architectural models of CNNs are ResNet (2015), VGGNet (2014), SqueezeNet (2016), GoogLeNet (2014), and ZFNet (2013) and are the visualization concept of the deconvolutional network; AlexNet (2012) and LeNet (Peng et al., 2009; Mitchell; Bengio, 2012; Dutkowski et al., 2015; Han et al., 2020 [16-20]) are basically used to train image datasets; the long short-term memory technique is used to train signalized datasets; and RHSBoost and genetically optimized neural network are used for efficient multiple classification of datasets. Dimensionality reduction, feature extraction, overfitting, underfitting, and normalization problems can be solved using various types of optimization algorithm. Image security is another important part, and by using an autoencoder, GAN network, and CNN we can prevent alteration in the medical image. Minor alteration of the medical image is very dangerous to patient life. By using deep learning and steganography, we can first compress as well as train the dataset, then security can be preserved after embedding of watermarks (which is a secret image visible to the human eye that cannot be altered; this steganography concept is called watermarking). © 2021 Elsevier Inc. All rights reserved.","Biomedical image and signal processing; Breast cancer; Deep learning; Image segmentation; Unsupervised feature learning","","","Elsevier","","2-s2.0-85120533343"
"McCann M.T.; Unser M.","McCann, M.T. (55617614400); Unser, M. (7102049045)","55617614400; 7102049045","Biomedical image reconstruction: From the foundations to deep neural networks","13","3","","283","359","76","10.1561/2000000101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086604683&doi=10.1561%2f2000000101&partnerID=40&md5=7ff436fd7de566a2454876d2f4fb855e","This tutorial covers biomedical image reconstruction, from the foundational concepts of system modeling and direct reconstruction to modern sparsity and learning-based approaches. Imaging is a critical tool in biological research and medicine, and most imaging systems necessarily use an image reconstruction algorithm to create an image; the design of these algorithms has been a topic of research since at least the 1960's. In the last few years, machine learning-based approaches have shown impressive performance on image reconstruction problems, triggering a wave of enthusiasm and creativity around the paradigm of learning. Our goal is to unify this body of research, identifying common principles and reusable building blocks across decades and among diverse imaging modalities. We first describe system modeling, emphasizing how a few building blocks can be used to describe a broad range of imaging modalities. We then discuss reconstruction algorithms, grouping them into three broad generations. The first are the classical direct methods, including Tikhonov regularization; the second are the variational methods based on sparsity and the theory of compressive sensing; and the third are the learning-based (also called data-driven) methods, especially those using deep convolutional neural networks. There are strong links between these generations: classical (first-generation) methods appear as modules inside the latter two, and the former two are used to inspire new designs for learning-based (third-generation) methods. As a result, a solid understanding of all three generations is necessary for the design of state-of-the-art algorithms. © M. T. McCann and M. Unser (2019)","","Bioinformatics; Convolutional neural networks; Deep learning; Deep neural networks; Learning systems; Compressive sensing; Image reconstruction algorithm; Learning-based approach; Reconstruction algorithms; Reconstruction problems; State-of-the-art algorithms; Tikhonov regularization; Variational methods; Image reconstruction","European Union's Horizon 2020 Research and Innovation Program; Louis-Jeantet Foundations; University Hospitals of Geneva; Vaud University Hospital Centre; Horizon 2020 Framework Programme, H2020, (692726); European Research Council, ERC; École Polytechnique Fédérale de Lausanne, EPFL; Louis-Jeantet Foundation; Hôpitaux Universitaires de Genève, HUG; Université de Genève, UNIGE; Université de Lausanne, UNIL; Centre d'Imagerie BioMédicale, CIBM","Now Publishers Inc","","2-s2.0-85086604683"
"","","","10th International Workshop on Clinical Image-Based Procedures, CLIP 2021, 2nd MICCAI Workshop on Distributed and Collaborative Learning, DCL 2021, 1st MICCAI Workshop, LL-COVID19, 1st Secure and Privacy-Preserving Machine Learning for Medical Imaging Workshop and Tutorial, PPML 2021, held in conjunction with 24th International Conference on Medical Image Computing and Computer Assisted Intervention, MICCAI 2021","12969 LNCS","","","","","188","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120670667&partnerID=40&md5=d2d8d0fe0bacf848b549c7c0113ca065","The proceedings contain 17 papers. The special focus in this conference is on Clinical Image-Based Procedures. The topics include: DCL preface; LL-COVID-19 preface; PPML preface; intestine Segmentation with Small Computational Cost for Diagnosis Assistance of Ileus and Intestinal Obstruction; multi-task Federated Learning for Heterogeneous Pancreas Segmentation; federated Learning in the Cloud for Analysis of Medical Images - Experience with Open Source Frameworks; on the Fairness of Swarm Learning in Skin Lesion Classification; Lessons Learned from the Development and Application of Medical Imaging-Based AI Technologies for Combating COVID-19: Why Discuss, What Next; The Role of Pleura and Adipose in Lung Ultrasound AI; DuCN: Dual-Children Network for Medical Diagnosis and Similar Case Recommendation Towards COVID-19; data Imputation and Reconstruction of Distributed Parkinson’s Disease Clinical Assessments: A Comparative Evaluation of Two Aggregation Algorithms; defending Medical Image Diagnostics Against Privacy Attacks Using Generative Methods: Application to Retinal Diagnostics; generation of Patient-Specific, Ligamentoskeletal, Finite Element Meshes for Scoliosis Correction Planning; Bayesian Graph Neural Networks for EEG-Based Emotion Recognition; ViTBIS: Vision Transformer for Biomedical Image Segmentation; Attention-Guided Pancreatic Duct Segmentation from Abdominal CT Volumes; development of the Next Generation Hand-Held Doppler with Waveform Phasicity Predictive Capabilities Using Deep Learning; learning from Mistakes: An Error-Driven Mechanism to Improve Segmentation Performance Based on Expert Feedback.","","","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85120670667"
"Zhang R.; Guo Z.; Sun Y.; Lu Q.; Xu Z.; Yao Z.; Duan M.; Liu S.; Ren Y.; Huang L.; Zhou F.","Zhang, Ruochi (57196041167); Guo, Zhehao (57219109743); Sun, Yue (57221122033); Lu, Qi (57219110127); Xu, Zijian (57219109575); Yao, Zhaomin (57192304471); Duan, Meiyu (57212005263); Liu, Shuai (57200844289); Ren, Yanjiao (57201310055); Huang, Lan (55770288600); Zhou, Fengfeng (55634210800)","57196041167; 57219109743; 57221122033; 57219110127; 57219109575; 57192304471; 57212005263; 57200844289; 57201310055; 55770288600; 55634210800","COVID19XrayNet: A Two-Step Transfer Learning Model for the COVID-19 Detecting Problem Based on a Limited Number of Chest X-Ray Images","12","4","","555","565","10","10.1007/s12539-020-00393-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091267952&doi=10.1007%2fs12539-020-00393-5&partnerID=40&md5=0573121222167824ca5b815cf49aedb4","The novel coronavirus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has caused a major pandemic outbreak recently. Various diagnostic technologies have been under active development. The novel coronavirus disease (COVID-19) may induce pulmonary failures, and chest X-ray imaging becomes one of the major confirmed diagnostic technologies. The very limited number of publicly available samples has rendered the training of the deep neural networks unstable and inaccurate. This study proposed a two-step transfer learning pipeline and a deep residual network framework COVID19XrayNet for the COVID-19 detection problem based on chest X-ray images. COVID19XrayNet firstly tunes the transferred model on a large dataset of chest X-ray images, which is further tuned using a small dataset of annotated chest X-ray images. The final model achieved 0.9108 accuracy. The experimental data also suggested that the model may be improved with more training samples being released. Graphic abstract: COVID19XrayNet, a two-step transfer learning framework designed for biomedical images.[Figure not available: see fulltext.] © 2020, International Association of Scientists in the Interdisciplinary Areas.","COVID19XrayNet; Feature extraction layer (FEL); Feature smoothing layer (FSL); ResNet34; Two-step transfer learning","Algorithms; Betacoronavirus; Clinical Laboratory Techniques; Coronavirus; Coronavirus Infections; Databases, Factual; Datasets as Topic; Deep Learning; Humans; Lung; Machine Learning; Models, Biological; Neural Networks, Computer; Pandemics; Pneumonia; Pneumonia, Viral; Radiography; Reference Values; Tomography, X-Ray Computed; X-Rays; algorithm; Betacoronavirus; biological model; complication; Coronavirinae; Coronavirus infection; diagnostic imaging; factual database; human; information processing; laboratory technique; lung; machine learning; pandemic; pneumonia; procedures; radiography; reference value; virology; virus pneumonia; X ray; x-ray computed tomography","High Performance Computing Center of Jilin University; Jilin Provincial Key Laboratory of Big Data Intelligent Computing, (20180622002JC); Jilin University, JLU, (BMCPP-2018-001); Education Department of Jilin Province, (JJKH20180145KJ); Fundamental Research Funds for the Central Universities","Springer Science and Business Media Deutschland GmbH","32959234","2-s2.0-85091267952"
"Davamani K.A.; Robin C.R.R.; Amudha S.; Anbarasi L.J.","Davamani, K. Anita (57210209037); Robin, C.R. Rene (57189274646); Amudha, S. (57217088432); Anbarasi, L. Jani (57222292455)","57210209037; 57189274646; 57217088432; 57222292455","Biomedical image segmentation by deep learning methods","","","","131","154","23","10.1002/9781119785750.ch6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124250605&doi=10.1002%2f9781119785750.ch6&partnerID=40&md5=cc0abfe09b19cd3507ae7f3acb36ecff","Deep learning methods have been employed to predict and analyse various application in medical imaging. Deep Learning technology is a computational algorithm that learns by itself to demonstrate a desired behaviours. Neural network processes the input neurons according to the corresponding types of networks based on algorithm provided and passes it to the hidden layer. Finally, it outputs the result through output layer. Deep learning algorithms tend to be more useful in different applications. It plays important role in biomedical image segmentations such as identifying skin cancer, lung cancer, brain tumour, skin psoriasis, etc. Deep learning includes algorithms like Convolutional Neural Network (CNN), Restricted Boltzmann Machine (RBM), Generative Adversarial Network (GAN), Recurrent Neural Network (RNN), U-Net, V-net, Fully Convolutional Attention Network (FCANET), Docker- powered based deep learning, ResNet18, ResNet50, SqueezeNet and DenseNet-121 which processes on medical images and helps in identifying the defect in earlier stage by helping the physician to start the treatment process. This paper is about the review of deep learning algorithms using medical image segmentation. Future implementations can be performed through additional feature for the existing algorithm with better performance. © 2021 Scrivener Publishing LLC. All rights reserved.","Convolution neural network; Deep learning; Image processing; Image segmentation","","","wiley","","2-s2.0-85124250605"
"Greeshma K.V.; Viji Gripsy J.","Greeshma, K.V. (57207827443); Viji Gripsy, J. (56153136500)","57207827443; 56153136500","A Review on Classification and Retrieval of Biomedical Images Using Artificial Intelligence","","","","47","66","19","10.1007/978-3-030-75220-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113298343&doi=10.1007%2f978-3-030-75220-0_3&partnerID=40&md5=8a60c66169c30ef76a75dd4c257d5b3c","Image retrieval and classification are the most prominent area of research in computer vision. Nowadays, bounteous medical images are generated through different types of medical imaging modalities in healthcare systems. It is often very difficult for researchers and doctors to access manage and retrieve images easily. The efficient and effective analysis and usage of heterogeneous biomedical images growing rapidly are a tedious task. Content-based image retrieval (CBIR) is one of the most widely used methods for automatic retrieval of images and widely used in medical images. Abundant research articles are published in different domain of applications related to CBIR and classification. The aim of this study is to provide a road map for researchers by exploring the various approaches, techniques, and algorithms used for medical image retrieval and classification. Feature extraction is the main subject for improving the performance of image classification and retrieval. Bag of visual words techniques and deep convolutional neural networks are widely used in content-based medical image retrieval (CBMIR). The state-of-the-art methods presented in this review are well suited to classify and retrieve multimodal medical images for different body organs. The methods include preprocessing of images, feature extraction, classification, and retrieval steps to develop an efficient biomedical image retrieval system. This chapter briefly reviews the various techniques used for biomedical images, and different methods adopted in classification and retrieval are focused. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Artificial intelligence; Bag of visual words; BoVW; CBIR; CBMIR; CNN; Content-based image retrieval; Content-based medical image retrieval; CT; Deep learning; Image classification; Internet of medical things; IoMT; IOT; Machine learning; MRI; Support vector machine","Biomedical signal processing; Classification (of information); Content based retrieval; Convolutional neural networks; Deep neural networks; Extraction; Feature extraction; Image classification; Image enhancement; Medical imaging; Automatic retrieval; Bag-of-visual-words; Content based medical image retrieval; Content-Based Image Retrieval; Effective analysis; Multimodal medical images; Preprocessing of image; State-of-the-art methods; Search engines","","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85113298343"
"Baum Z.M.C.; Hu Y.; Barratt D.C.","Baum, Zachary M. C. (6506021565); Hu, Yipeng (24512208500); Barratt, Dean C. (7005201740)","6506021565; 24512208500; 7005201740","Multimodality Biomedical Image Registration Using Free Point Transformer Networks","12437 LNCS","","","116","125","9","10.1007/978-3-030-60334-2_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092739402&doi=10.1007%2f978-3-030-60334-2_12&partnerID=40&md5=8afaf86e10aa2821ae3b2c6801e94a7c","We describe a point-set registration algorithm based on a novel free point transformer (FPT) network, designed for points extracted from multimodal biomedical images for registration tasks, such as those frequently encountered in ultrasound-guided interventional procedures. FPT is constructed with a global feature extractor which accepts unordered source and target point-sets of variable size. The extracted features are conditioned by a shared multilayer perceptron point transformer module to predict a displacement vector for each source point, transforming it into the target space. The point transformer module assumes no vicinity or smoothness in predicting spatial transformation and, together with the global feature extractor, is trained in a data-driven fashion with an unsupervised loss function. In a multimodal registration task using prostate MR and sparsely acquired ultrasound images, FPT yields comparable or improved results over other rigid and non-rigid registration methods. This demonstrates the versatility of FPT to learn registration directly from real, clinical training data and to generalize to a challenging task, such as the interventional application presented. © 2020, Springer Nature Switzerland AG.","Deep-learning; Point-set registration; Prostate cancer","Bioinformatics; Computer aided analysis; Geometry; Image enhancement; Medical imaging; Metadata; Multilayer neural networks; Pediatrics; Ultrasonics; Vector spaces; Biomedical image registration; Clinical training; Displacement vectors; Interventional procedures; Multimodal registration; Nonrigid registration method; Point-set registrations; Spatial transformation; Image analysis","Centre for Interventional and Surgical Sciences, (203145Z/16/Z); Natural Sciences and Engineering Research Council of Canada, NSERC; University College London, UCL","Springer Science and Business Media Deutschland GmbH","","2-s2.0-85092739402"
"Larrazabal A.J.; Martínez C.; Glocker B.; Ferrante E.","Larrazabal, Agostina J. (57208260242); Martínez, César (8118083200); Glocker, Ben (23396784900); Ferrante, Enzo (55892013900)","57208260242; 8118083200; 23396784900; 55892013900","Post-DAE: Anatomically Plausible Segmentation via Post-Processing with Denoising Autoencoders","39","12","9126830","3813","3820","7","10.1109/TMI.2020.3005297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092739004&doi=10.1109%2fTMI.2020.3005297&partnerID=40&md5=2370e176dd25be3b12b72b563fed9c85","We introduce Post-DAE, a post-processing method based on denoising autoencoders (DAE) to improve the anatomical plausibility of arbitrary biomedical image segmentation algorithms. Some of the most popular segmentation methods (e.g. based on convolutional neural networks or random forest classifiers) incorporate additional post-processing steps to ensure that the resulting masks fulfill expected connectivity constraints. These methods operate under the hypothesis that contiguous pixels with similar aspect should belong to the same class. Even if valid in general, this assumption does not consider more complex priors like topological restrictions or convexity, which cannot be easily incorporated into these methods. Post-DAE leverages the latest developments in manifold learning via denoising autoencoders. First, we learn a compact and non-linear embedding that represents the space of anatomically plausible segmentations. Then, given a segmentation mask obtained with an arbitrary method, we reconstruct its anatomically plausible version by projecting it onto the learnt manifold. The proposed method is trained using unpaired segmentation mask, what makes it independent of intensity information and image modality. We performed experiments in binary and multi-label segmentation of chest X-ray and cardiac magnetic resonance images. We show how erroneous and noisy segmentation masks can be improved using Post-DAE. With almost no additional computation cost, our method brings erroneous segmentations back to a feasible space. © 1982-2012 IEEE.","Anatomical segmentation; autoencoders; convolutional neural networks; learning representations; post-processing","Algorithms; Brain; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Neural Networks, Computer; Bioinformatics; Convolutional neural networks; Decision trees; Image enhancement; Learning systems; Magnetic resonance; Magnetic resonance imaging; Processing; Biomedical image segmentation; Cardiac magnetic resonance images; Connectivity constraints; Intensity information; Latest development; Postprocessing methods; Random forest classifier; Segmentation methods; Article; cardiovascular magnetic resonance; deep learning; denoising autoencoder; human; image processing; image segmentation; quantitative analysis; random forest; segmentation algorithm; thorax radiography; algorithm; brain; diagnostic imaging; image processing; nuclear magnetic resonance imaging; Image segmentation","ANPyCT, (PICT 2016-0651, PICT 2018-03907); AXA Research Fund, AXA; Agencia Nacional de Promoción Científica y Tecnológica, ANPCyT; Universidad Nacional del Litoral, UNL, (CAID-PIC-50220140100084LI, CAID-PIC-50420150100098LI)","Institute of Electrical and Electronics Engineers Inc.","32746125","2-s2.0-85092739004"
"Xing F.; Xie Y.; Su H.; Liu F.; Yang L.","Xing, Fuyong (38461688800); Xie, Yuanpu (56903340500); Su, Hai (44661704600); Liu, Fujun (55541334700); Yang, Lin (55771607100)","38461688800; 56903340500; 44661704600; 55541334700; 55771607100","Deep Learning in Microscopy Image Analysis: A Survey","29","10","8118310","4550","4568","18","10.1109/TNNLS.2017.2766168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035790459&doi=10.1109%2fTNNLS.2017.2766168&partnerID=40&md5=116e43fd3ab898ab2901ec2b8bfdb2a8","Computerized microscopy image analysis plays an important role in computer aided diagnosis and prognosis. Machine learning techniques have powered many aspects of medical investigation and clinical practice. Recently, deep learning is emerging as a leading machine learning tool in computer vision and has attracted considerable attention in biomedical image analysis. In this paper, we provide a snapshot of this fast-growing field, specifically for microscopy image analysis. We briefly introduce the popular deep neural networks and summarize current deep learning achievements in various tasks, such as detection, segmentation, and classification in microscopy image analysis. In particular, we explain the architectures and the principles of convolutional neural networks, fully convolutional networks, recurrent neural networks, stacked autoencoders, and deep belief networks, and interpret their formulations or modelings for specific tasks on various microscopy images. In addition, we discuss the open challenges and the potential trends of future research in microscopy image analysis using deep learning. © 2012 IEEE.","Classification; deep learning; detection; microscopy image analysis; segmentation","Algorithms; Deep Learning; Diagnosis, Computer-Assisted; Female; Humans; Image Processing, Computer-Assisted; Male; Microscopy; Neural Networks (Computer); Surveys and Questionnaires; Classification (of information); Computer aided analysis; Computer aided diagnosis; Convolution; Deep learning; Deep neural networks; Error detection; Image segmentation; Learning systems; Medical imaging; Microscopic examination; Neural networks; Recurrent neural networks; Biomedical image analysis; Biomedical imaging; Convolutional networks; Convolutional neural network; Deep belief networks; Learning achievement; Machine learning techniques; Microscopy image analysis; algorithm; artificial neural network; computer assisted diagnosis; female; human; image processing; male; microscopy; procedures; questionnaire; Image analysis","","Institute of Electrical and Electronics Engineers Inc.","29989994","2-s2.0-85035790459"
"Abunadi I.; Senan E.M.","Abunadi, Ibrahim (57189636917); Senan, Ebrahim Mohammed (57222957501)","57189636917; 57222957501","Deep learning and machine learning techniques of diagnosis dermoscopy images for early detection of skin diseases","10","24","3158","","","","10.3390/electronics10243158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121285366&doi=10.3390%2felectronics10243158&partnerID=40&md5=936d2ea8f1d49477b6cd71aec8feb454","With the increasing incidence of severe skin diseases, such as skin cancer, endoscopic medical imaging has become urgent for revealing the internal and hidden tissues under the skin. Diagnostic information to help doctors make an accurate diagnosis is provided by endoscopy devices. Nonetheless, most skin diseases have similar features, which make it challenging for dermatologists to diagnose patients accurately. Therefore, machine and deep learning techniques can have a critical role in diagnosing dermatoscopy images and in the accurate early detection of skin diseases. In this study, systems for the early detection of skin lesions were developed. The performance of the machine learning and deep learning was evaluated on two datasets (e.g., the International Skin Imaging Collaboration (ISIC 2018) and Pedro Hispano (PH2)). First, the proposed system was based on hybrid features that were extracted by three algorithms: local binary pattern (LBP), gray level co-occurrence matrix (GLCM), and wavelet transform (DWT). Such features were then integrated into a feature vector and classified using artificial neural network (ANN) and feedforward neural network (FFNN) classifiers. The FFNN and ANN classifiers achieved superior results compared to the other methods. Accuracy rates of 95.24% for diagnosing the ISIC 2018 dataset and 97.91% for diagnosing the PH2 dataset were achieved using the FFNN algorithm. Second, convolutional neural networks (CNNs) (e.g., ResNet-50 and AlexNet models) were applied to diagnose skin diseases using the transfer learning method. It was found that the ResNet-50 model fared better than AlexNet. Accuracy rates of 90% for diagnosing the ISIC 2018 dataset and 95.8% for the PH2 dataset were reached using the ResNet-50 model. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Biomedical image processing; Deep learning; Dermoscopy images; Machine learning; Melanoma; Skin diseases","","Prince Sultan University, PSU","MDPI","","2-s2.0-85121285366"
